城市,环比,同比,1-3月平均,城市,环比,同比,1-3月平均
城市,环比,同比,1-3月平均,城市,环比,同比,1-3月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,99.6,93.6,94.8,唐　　山,99.4,93.6,93.9
天　　津,99.3,96.1,97.0,秦 皇 岛,99.4,93.8,94.6
石 家 庄,99.8,97.1,97.6,包　　头,99.3,94.3,94.9
太　　原,99.9,96.1,96.5,丹　　东,99.1,94.0,94.2
呼和浩特,99.5,94.3,94.6,锦　　州,99.5,94.7,95.0
沈　　阳,99.4,93.2,94.0,吉　　林,99.4,93.2,93.3
大　　连,99.2,93.1,94.0,牡 丹 江,99.4,93.6,93.9
长　　春,99.4,94.0,94.4,无　　锡,99.2,93.5,94.7
哈 尔 滨,99.3,94.0,94.9,徐　　州,99.2,88.7,89.8
上　　海,99.7,93.1,94.2,扬　　州,99.7,92.6,93.2
南　　京,99.5,90.5,91.5,温　　州,99.5,91.4,92.5
杭　　州,99.5,94.9,95.9,金　　华,99.1,92.6,93.7
宁　　波,99.4,92.7,93.6,蚌　　埠,99.3,94.5,95.4
合　　肥,99.7,93.6,94.3,安　　庆,99.4,93.9,94.7
福　　州,100.1,93.1,93.6,泉　　州,99.3,93.3,93.7
厦　　门,99.3,90.4,91.2,九　　江,99.7,93.9,94.4
南　　昌,99.9,94.6,94.8,赣　　州,99.5,97.8,98.5
济　　南,99.2,95.1,96.2,烟　　台,99.6,93.0,93.6
青　　岛,99.5,93.1,93.8,济　　宁,99.7,93.9,94.4
郑　　州,99.5,91.8,92.7,洛　　阳,99.6,93.6,94.2
武　　汉,99.1,91.1,92.5,平 顶 山,99.3,94.3,95.1
长　　沙,98.9,95.8,97.0,宜　　昌,99.5,94.1,94.4
广　　州,99.0,91.4,92.6,襄　　阳,99.2,92.5,93.3
深　　圳,99.0,92.6,93.8,岳　　阳,99.8,96.2,96.3
南　　宁,99.5,93.2,93.8,常　　德,99.0,94.9,96.0
海　　口,99.3,92.6,93.4,韶　　关,99.9,95.6,96.1
重　　庆,99.7,93.0,93.6,湛　　江,99.6,94.7,95.5
成　　都,99.3,95.7,97.3,惠　　州,99.7,95.0,95.5
贵　　阳,99.6,94.3,95.2,桂　　林,99.5,94.4,95.2
昆　　明,99.5,96.7,97.2,北　　海,99.8,95.8,96.3
西　　安,99.7,95.8,96.9,三　　亚,99.7,97.9,98.7
兰　　州,99.2,93.4,94.1,泸　　州,99.6,96.8,97.2
西　　宁,99.7,96.0,96.6,南　　充,99.8,96.6,97.3
银　　川,99.4,95.5,96.6,遵　　义,99.8,95.4,96.4
乌鲁木齐,99.4,95.7,96.1,大　　理,99.6,95.7,96.3
