城市,环比,同比,1-8月平均,城市,环比,同比,1-8月平均
城市,环比,同比,1-8月平均,城市,环比,同比,1-8月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,98.8,96.9,97.7,唐　　山,99.4,91.0,89.4
天　　津,99.6,97.0,95.9,秦 皇 岛,99.5,91.3,89.9
石 家 庄,99.4,94.9,93.7,包　　头,99.2,92.1,90.3
太　　原,99.8,95.7,95.3,丹　　东,99.4,93.5,91.4
呼和浩特,99.7,91.9,90.0,锦　　州,99.7,93.3,92.2
沈　　阳,99.6,95.7,94.4,吉　　林,99.6,95.1,94.9
大　　连,99.4,93.9,92.3,牡 丹 江,99.9,94.8,92.9
长　　春,100.1,94.5,93.8,无　　锡,99.2,95.3,94.1
哈 尔 滨,99.6,93.7,92.7,徐　　州,99.5,92.6,92.7
上　　海,99.0,97.4,98.4,扬　　州,99.7,92.8,91.5
南　　京,99.3,93.8,94.7,温　　州,99.5,93.0,90.8
杭　　州,99.9,97.9,97.3,金　　华,99.6,93.9,90.6
宁　　波,99.1,94.9,93.3,蚌　　埠,99.3,95.4,94.3
合　　肥,99.1,92.8,92.3,安　　庆,99.2,93.0,91.8
福　　州,99.5,94.3,91.8,泉　　州,99.7,93.4,90.3
厦　　门,99.1,95.4,92.0,九　　江,99.9,94.5,92.4
南　　昌,99.1,93.5,91.2,赣　　州,99.1,97.0,96.4
济　　南,99.4,95.3,92.4,烟　　台,99.2,93.3,91.9
青　　岛,99.0,95.0,93.9,济　　宁,99.1,94.6,94.8
郑　　州,99.1,91.7,92.0,洛　　阳,99.4,95.2,94.1
武　　汉,99.1,94.2,92.6,平 顶 山,99.5,95.7,95.1
长　　沙,99.2,93.3,92.6,宜　　昌,99.6,94.9,93.7
广　　州,99.1,93.8,92.4,襄　　阳,99.6,92.4,91.0
深　　圳,99.2,98.1,96.3,岳　　阳,99.5,94.7,94.2
南　　宁,99.6,93.6,92.1,常　　德,99.0,91.8,91.8
海　　口,99.3,96.8,94.8,韶　　关,99.7,94.8,93.7
重　　庆,99.2,96.4,95.4,湛　　江,99.5,94.7,93.4
成　　都,99.3,99.6,97.9,惠　　州,99.2,92.8,90.4
贵　　阳,99.6,95.3,95.1,桂　　林,99.5,94.8,94.9
昆　　明,99.5,92.6,92.3,北　　海,99.6,94.4,94.4
西　　安,98.9,93.0,93.2,三　　亚,99.6,93.3,93.2
兰　　州,99.4,94.5,92.3,泸　　州,99.1,93.8,93.1
西　　宁,99.8,96.3,94.0,南　　充,99.4,96.6,94.5
银　　川,99.5,95.4,95.0,遵　　义,99.8,94.7,94.3
乌鲁木齐,99.8,95.3,94.8,大　　理,99.3,95.1,93.6
