城市,环比,同比,1-10月平均,城市,环比,同比,1-10月平均
城市,环比,同比,1-10月平均,城市,环比,同比,1-10月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,98.9,99.8,102.2,唐　　山,99.4,94.8,94.2
天　　津,99.7,97.7,95.7,秦皇岛,99.8,96.9,96.1
石家庄,99.8,98.0,97.4,包　　头,99.4,96.0,96.3
太　　原,99.6,97.2,96.9,丹　　东,99.3,94.2,94.0
呼和浩特,99.3,95.4,95.4,锦　　州,99.4,95.5,94.9
沈　　阳,99.7,94.4,94.2,吉　　林,99.3,93.1,91.9
大　　连,99.6,95.3,95.5,牡丹江,99.0,93.7,92.0
长　　春,99.5,94.0,93.8,无　　锡,99.9,97.2,98.9
哈尔滨,99.1,95.0,94.0,徐　　州,98.8,95.8,98.2
上　　海,99.2,97.7,100.4,扬　　州,98.9,95.9,97.7
南　　京,98.9,95.6,98.1,温　　州,99.6,96.0,96.3
杭　　州,100.5,98.7,98.2,金　　华,99.5,95.7,95.5
宁　　波,98.8,96.2,98.1,蚌　　埠,99.4,98.3,97.9
合　　肥,99.5,97.2,99.2,安　　庆,99.3,96.2,95.4
福　　州,99.2,96.2,97.5,泉　　州,99.1,94.1,94.0
厦　　门,99.1,94.5,96.2,九　　江,99.3,97.0,97.1
南　　昌,99.6,96.2,97.3,赣　　州,99.8,99.8,99.4
济　　南,99.7,97.3,97.7,烟　　台,98.8,96.2,98.4
青　　岛,99.5,95.8,96.4,济　　宁,99.1,95.6,94.7
郑　　州,99.2,94.5,95.0,洛　　阳,99.8,96.0,94.5
武　　汉,99.7,96.3,95.9,平顶山,99.4,96.8,96.5
长　　沙,99.7,100.1,100.9,宜　　昌,99.5,94.6,93.8
广　　州,99.2,96.1,97.9,襄　　阳,99.0,95.8,95.5
深　　圳,99.5,98.7,98.4,岳　　阳,99.3,96.5,95.9
南　　宁,98.7,94.7,94.6,常　　德,99.9,98.3,96.4
海　　口,99.3,96.2,96.9,韶　　关,99.4,96.6,96.8
重　　庆,99.3,95.5,96.8,湛　　江,99.5,97.4,96.3
成　　都,99.9,103.1,106.8,惠　　州,99.2,97.0,97.6
贵　　阳,99.5,97.6,97.6,桂　　林,99.3,96.2,96.6
昆　　明,98.7,98.6,100.0,北　　海,99.2,96.4,94.5
西　　安,100.0,99.2,99.5,三　　亚,100.1,100.5,99.7
兰　　州,99.3,95.7,95.8,泸　　州,99.7,97.4,97.9
西　　宁,99.7,99.1,98.6,南　　充,99.4,98.8,100.7
银　　川,99.4,97.5,97.7,遵　　义,99.4,96.2,96.4
乌鲁木齐,99.9,96.3,97.2,大　　理,99.8,97.0,96.8
