城市,环比,同比,1-8月平均,城市,环比,同比,1-8月平均
城市,环比,同比,1-8月平均,城市,环比,同比,1-8月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,,
北　　京,100.4,100.8,102.7,唐　　山,99.4,94.4,94.0
天　　津,99.3,96.4,95.3,秦皇岛,99.8,96.3,95.9
石家庄,99.6,97.4,97.3,包　　头,99.5,96.5,96.3
太　　原,99.7,97.2,96.9,丹　　东,99.0,93.8,94.0
呼和浩特,99.6,96.1,95.3,锦　　州,99.3,94.8,94.8
沈　　阳,99.6,94.5,94.2,吉　　林,99.6,92.6,91.7
大　　连,99.4,94.8,95.6,牡丹江,100.1,93.2,91.6
长　　春,99.8,94.7,93.8,无　　锡,99.4,96.9,99.4
哈尔滨,99.3,95.3,93.7,徐　　州,99.4,98.0,98.7
上　　海,99.7,98.0,101.1,扬　　州,99.2,97.1,98.1
南　　京,99.4,97.0,98.7,温　　州,99.4,96.6,96.3
杭　　州,99.5,97.2,98.3,金　　华,99.1,95.6,95.4
宁　　波,99.3,97.3,98.5,蚌　　埠,99.8,98.5,97.8
合　　肥,99.7,98.2,99.6,安　　庆,99.8,96.0,95.1
福　　州,99.5,96.9,97.8,泉　　州,99.1,94.2,93.9
厦　　门,99.4,95.1,96.5,九　　江,99.5,97.0,97.2
南　　昌,99.4,96.6,97.6,赣　　州,99.9,99.7,99.2
济　　南,99.5,98.3,97.8,烟　　台,99.7,97.7,98.8
青　　岛,99.2,95.6,96.6,济　　宁,99.9,95.7,94.5
郑　　州,99.1,94.8,95.1,洛　　阳,99.5,95.2,94.2
武　　汉,99.2,95.9,95.8,平顶山,99.7,96.9,96.4
长　　沙,99.5,100.8,101.1,宜　　昌,99.6,94.4,93.6
广　　州,99.4,96.3,98.3,襄　　阳,99.4,96.1,95.4
深　　圳,99.8,98.6,98.3,岳　　阳,99.2,95.9,95.7
南　　宁,99.4,95.2,94.6,常　　德,100.0,98.0,96.0
海　　口,99.5,96.0,97.0,韶　　关,99.7,97.4,96.8
重　　庆,99.4,95.9,97.1,湛　　江,99.5,97.4,96.0
成　　都,99.6,104.1,107.7,惠　　州,99.7,97.5,97.7
贵　　阳,99.4,97.6,97.7,桂　　林,99.3,96.4,96.7
昆　　明,99.3,99.9,100.3,北　　海,99.2,95.8,94.0
西　　安,99.7,99.1,99.5,三　　亚,99.9,100.0,99.6
兰　　州,99.2,96.3,95.8,泸　　州,99.4,97.6,98.1
西　　宁,99.6,98.8,98.6,南　　充,99.7,99.8,101.1
银　　川,99.6,97.8,97.7,遵　　义,99.4,96.2,96.4
乌鲁木齐,99.5,96.8,97.4,大　　理,100.1,97.2,96.8
